Start.year	Location	key	Height
1967	S	1967	23
1968	S	1968	23
1969	S	1969	23
1970	S	1970	23
1971	S	1971	23
1972	S	1972	23
1973	S	1973	23
1974	S	1974	21.7
1975	S	1975	21.7
1976	S	1976	21.7
1977	S	1977	21.7
1978	S	1978	21.7
1979	S	1979	21.7
1984	S	1984	21.7
1985	S	1985	22.9
1987	S	1987S	21.6
1987	N	1987N	21.6
1992	S	1992S	21.6
1992	N	1992N	21.6
1993	S	1993S	21.63
1993	N	1993N	21.6
1995	S	1995S	21.6
1995	N	1995N	21.6
1995	NP	1995NP	21.6
1997	S	1997S	22.5
1997	N	1997N	22.6
2000	N	2000N	22.4
2000	S	2000S	22.5
2001	N	2001N	22.4
2001	S	2001S	22.5
2006	S	2006S	22.4
2006	N	2006N	22.4
